model,label_en,label_ja,run,judgement,reason,ttft_ms,total_ms,tokens_per_sec,eval_count,prompt,raw_response,checked_judgement,prompt_echo_or_truncated
qwen3:1.7b,stop sign,一時停止標識,1,no,机の上には何も危険なものが置かれていません。,634.3,5169.0,4.85,22,検出結果は「一時停止標識 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,stop sign,一時停止標識,2,no,机の上には何も危険なものが置かれていません。,634.2,5167.8,4.85,22,検出結果は「一時停止標識 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,stop sign,一時停止標識,3,no,机の上には何も危険なものが置かれていません。,634.0,5168.4,4.85,22,検出結果は「一時停止標識 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,parking meter,パーキングメーター,1,no,机の上には何も危険なものが置かれていない。,634.6,5167.1,4.85,22,検出結果は「パーキングメーター x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていない。,no,no
qwen3:1.7b,parking meter,パーキングメーター,2,no,机の上には何も危険なものが置かれていない。,634.7,5167.1,4.85,22,検出結果は「パーキングメーター x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていない。,no,no
qwen3:1.7b,parking meter,パーキングメーター,3,no,机の上には何も危険なものが置かれていない。,634.9,5167.6,4.85,22,検出結果は「パーキングメーター x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていない。,no,no
qwen3:1.7b,bench,ベンチ,1,no,机の上には何も危険なものが置かれていないため、危険ではない。,634.7,6403.4,4.85,28,検出結果は「ベンチ x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていないため、危険ではない。,no,no
qwen3:1.7b,bench,ベンチ,2,no,机の上には何も危険なものが置かれていないため、危険ではない。,634.5,6404.3,4.85,28,検出結果は「ベンチ x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていないため、危険ではない。,no,no
qwen3:1.7b,bench,ベンチ,3,no,机の上には何も危険なものが置かれていないため、危険ではない。,634.4,6403.7,4.85,28,検出結果は「ベンチ x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていないため、危険ではない。,no,no
qwen3:1.7b,bird,鳥,1,no,机の上には鳥 x1 が置かれているが、危険なものは存在しない。,634.2,6610.6,4.85,29,検出結果は「鳥 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には鳥 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,bird,鳥,2,no,机の上には鳥 x1 が置かれているが、危険なものは存在しない。,634.1,6611.1,4.85,29,検出結果は「鳥 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には鳥 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,bird,鳥,3,no,机の上には鳥 x1 が置かれているが、危険なものは存在しない。,634.9,6609.1,4.85,29,検出結果は「鳥 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には鳥 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,cat,猫,1,no,机の上には猫 x1 が置かれているが、危険なものは存在しない。,634.8,6607.6,4.86,29,検出結果は「猫 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には猫 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,cat,猫,2,no,机の上には猫 x1 が置かれているが、危険なものは存在しない。,634.7,6610.1,4.85,29,検出結果は「猫 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には猫 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,cat,猫,3,no,机の上には猫 x1 が置かれているが、危険なものは存在しない。,634.4,6608.6,4.85,29,検出結果は「猫 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には猫 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,dog,犬,1,no,机の上には犬 x1 が置かれているが、危険なものは存在しない。,634.8,6608.9,4.85,29,検出結果は「犬 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には犬 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,dog,犬,2,no,机の上には犬 x1 が置かれているが、危険なものは存在しない。,633.9,6610.6,4.85,29,検出結果は「犬 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には犬 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,dog,犬,3,no,机の上には犬 x1 が置かれているが、危険なものは存在しない。,635.2,6612.1,4.85,29,検出結果は「犬 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には犬 x1 が置かれているが、危険なものは存在しない。,no,no
qwen3:1.7b,horse,馬,1,no,机の上には馬 x1 が置かれているが、これは危険な物ではありません。机の上に置かれているものは、馬 x1 と、他の物が置かれているが、馬 x1 は危険な物ではない。机の上に危険なものは、馬 x1 ではない。机の上に置かれているものは、馬 x1 と、他の,634.6,20204.8,4.91,96,検出結果は「馬 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には馬 x1 が置かれているが、これは危険な物ではありません。机の上に置かれているものは、馬 x1 と、他の物が置かれているが、馬 x1 は危険な物ではない。机の上に危険なものは、馬 x1 ではない。机の上に置かれているものは、馬 x1 と、他の,no,yes
qwen3:1.7b,horse,馬,2,no,机の上には馬 x1 が置かれているが、これは危険な物ではありません。机の上に置かれているものは、馬 x1 と、他の物が置かれているが、馬 x1 は危険な物ではない。机の上に危険なものは、馬 x1 ではない。机の上に置かれているものは、馬 x1 と、他の,633.8,20209.6,4.90,96,検出結果は「馬 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には馬 x1 が置かれているが、これは危険な物ではありません。机の上に置かれているものは、馬 x1 と、他の物が置かれているが、馬 x1 は危険な物ではない。机の上に危険なものは、馬 x1 ではない。机の上に置かれているものは、馬 x1 と、他の,no,yes
qwen3:1.7b,horse,馬,3,no,机の上には馬 x1 が置かれているが、これは危険な物ではありません。机の上に置かれているものは、馬 x1 と、他の物が置かれているが、馬 x1 は危険な物ではない。机の上に危険なものは、馬 x1 ではない。机の上に置かれているものは、馬 x1 と、他の,634.7,20208.3,4.90,96,検出結果は「馬 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には馬 x1 が置かれているが、これは危険な物ではありません。机の上に置かれているものは、馬 x1 と、他の物が置かれているが、馬 x1 は危険な物ではない。机の上に危険なものは、馬 x1 ではない。机の上に置かれているものは、馬 x1 と、他の,no,yes
qwen3:1.7b,sheep,羊,1,no,机の上には何も危険なものが置かれている。,634.2,4959.2,4.86,21,検出結果は「羊 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,sheep,羊,2,no,机の上には何も危険なものが置かれている。,634.7,4961.7,4.85,21,検出結果は「羊 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,sheep,羊,3,no,机の上には何も危険なものが置かれている。,634.6,4962.4,4.85,21,検出結果は「羊 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,cow,牛,1,no,机の上には何も危険なものが置かれている。,634.1,4961.2,4.85,21,検出結果は「牛 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,cow,牛,2,no,机の上には何も危険なものが置かれている。,634.9,4962.2,4.85,21,検出結果は「牛 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,cow,牛,3,no,机の上には何も危険なものが置かれている。,635.0,4963.1,4.85,21,検出結果は「牛 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれている。,no,no
qwen3:1.7b,elephant,象,1,no,机の上には何も危険なものが置かれていません。,634.4,5167.4,4.85,22,検出結果は「象 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,elephant,象,2,no,机の上には何も危険なものが置かれていません。,634.2,5167.3,4.85,22,検出結果は「象 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
qwen3:1.7b,elephant,象,3,no,机の上には何も危険なものが置かれていません。,634.7,5168.6,4.85,22,検出結果は「象 x1」です。机の上に危険なものはありますか。危険なら「判定: yes」、危険でなければ「判定: no」と書いてください。続けて「理由: 」から日本語1文で理由を書いてください。出力は「判定: ... 理由: ...」だけにしてください。,判定: no 理由: 机の上には何も危険なものが置かれていません。,no,no
